,Artist,Track,Track_id,Track_popularity,Artist_id,Artist_Popularity,Genres,Followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
167,Bruno mars,After last night,3CiC59KSmkohPPw5EFuL3s,0,0du5cEVh5yTK9QJze8zA0C,66,no specific genre,5897201,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4.16
168,Bruno mars,Leave the door open,0zu8DaquGIUB1XhOiiRKQW,0,0du5cEVh5yTK9QJze8zA0C,76,no specific genre,7302949,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
169,Bruno mars,Leave the door open,2TmVhkBDkMRmfp3vCF632g,0,0du5cEVh5yTK9QJze8zA0C,55,no specific genre,96957,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
170,Bruno mars,Talking to the moon,2iEaLlj6HBhK8pof511vZf,0,0du5cEVh5yTK9QJze8zA0C,81,no specific genre,9592459,0.523,0.607,1,-4.754,0,0.03,0.512,0.0,0.106,0.0651,145.837,3.63
171,Bruno mars,Skate,6WHsC1ZFHsdsCzNsQumbCP,1,0du5cEVh5yTK9QJze8zA0C,53,no specific genre,97327,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,3.39
172,Bruno mars,After last night,0bBHITOsdAdq5ykyH0amFX,0,0du5cEVh5yTK9QJze8zA0C,51,no specific genre,43428,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4.16
173,Bruno mars,Leave the door open,2pvRescv6Av6N5Dy75I4xE,0,0du5cEVh5yTK9QJze8zA0C,71,no specific genre,485167,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
174,Bruno mars,Talking to the moon,1cxG7sMMzRYAhimZSg5lab,0,0du5cEVh5yTK9QJze8zA0C,60,no specific genre,1706634,0.523,0.607,1,-4.754,0,0.03,0.512,0.0,0.106,0.0651,145.837,3.63
175,Bruno mars,Leave the door open,6Pk0Rcj7RkSZbAyKTAE3So,0,0du5cEVh5yTK9QJze8zA0C,61,no specific genre,171826,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
176,Bruno mars,After last night,3SXHpfEV5Nqn2w5dPCC9zE,0,0du5cEVh5yTK9QJze8zA0C,71,no specific genre,1616655,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4.16
177,Bruno mars,Leave the door open,6PNGArMfom4pimHkbCigqH,0,0du5cEVh5yTK9QJze8zA0C,32,no specific genre,426,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
178,Bruno mars,Smokin out the window,63xgWgtgrakQm0f2z4Uvn4,0,0du5cEVh5yTK9QJze8zA0C,33,no specific genre,1012,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,3.29
179,Bruno mars,Leave the door open,7FFnHFhgVjGLSk0prGYW35,0,0du5cEVh5yTK9QJze8zA0C,69,no specific genre,5021964,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
180,Bruno mars,Leave the door open,1A6Nsavkymw5Gjp2msckYY,0,0du5cEVh5yTK9QJze8zA0C,59,no specific genre,107703,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
181,Bruno mars,Treasure,4FSGGAbUvvpXuwFic0SyQc,0,0du5cEVh5yTK9QJze8zA0C,47,no specific genre,194870,0.872,0.699,5,-5.071,0,0.0349,0.0291,0.000123,0.0639,0.934,116.033,2.93
182,Bruno mars,Leave the door open,6tmyhRPCIYUimJ9PTNNu6Z,0,0du5cEVh5yTK9QJze8zA0C,63,no specific genre,569392,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
183,Bruno mars,Marry you,3PvqisPIIW6PDcPbGxERJl,0,0du5cEVh5yTK9QJze8zA0C,53,no specific genre,97327,0.62,0.832,10,-4.848,1,0.0361,0.331,0.0,0.104,0.482,144.925,3.84
184,Bruno mars,Smokin out the window,3vWiOENgN9vfEiut9g8dRY,0,0du5cEVh5yTK9QJze8zA0C,51,no specific genre,43428,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,3.29
185,Bruno mars,Talking to the moon,3iTNvukX0MmLnrlwIi14CZ,0,0du5cEVh5yTK9QJze8zA0C,79,no specific genre,26660301,0.523,0.607,1,-4.754,0,0.03,0.512,0.0,0.106,0.0651,145.837,3.63
186,Bruno mars,Grenade - passion pit remix,2P4yq1p9PaKhUA4NwxVuGE,0,0du5cEVh5yTK9QJze8zA0C,80,no specific genre,28564011,0.704,0.701,5,-4.314,1,0.0286,0.00391,0.0,0.058,0.584,108.992,6.18
187,Bruno mars,24k magic,2h4WzFQwC5aS7Trdtsn6lV,0,0du5cEVh5yTK9QJze8zA0C,32,no specific genre,442,0.818,0.804,1,-4.282,1,0.0798,0.034,0.0,0.154,0.634,106.969,3.77
188,Bruno mars,After last night,5unWdlkyZWGiknxZpZOWhn,0,0du5cEVh5yTK9QJze8zA0C,39,no specific genre,8296,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4.16
189,Bruno mars,Skate,2XvGrcNbXZ4FTCL5sDZKYV,0,0du5cEVh5yTK9QJze8zA0C,79,no specific genre,1895651,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,3.39
190,Bruno mars,Calling all my lovelies,096GSGkyj73NLrKB0JXisM,0,0du5cEVh5yTK9QJze8zA0C,76,no specific genre,7124265,0.662,0.705,1,-6.56,0,0.0399,0.0392,2.38e-06,0.105,0.865,160.0,4.17
191,Bruno mars,24k magic - r3hab remix,17WoColcCmytlb4AJNCA3B,0,0du5cEVh5yTK9QJze8zA0C,76,no specific genre,7124265,0.764,0.708,5,-5.692,0,0.21,0.146,0.0,0.33,0.566,106.175,2.64
192,Bruno mars,Just the way you are,6ptRBUsJWYzd9OxGuK3xYD,1,0du5cEVh5yTK9QJze8zA0C,59,no specific genre,212719,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,3.68
193,Bruno mars,Skate,2a2kp7oDRifHhup1dpzAtl,0,0du5cEVh5yTK9QJze8zA0C,54,no specific genre,234764,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,3.39
194,Bruno mars,Leave the door open,545a8Ddjhp1ldQdq1499lF,0,0du5cEVh5yTK9QJze8zA0C,76,no specific genre,562332,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
195,Bruno mars,Leave the door open,4XgtHNWdDYshPIzK37cvGC,0,0du5cEVh5yTK9QJze8zA0C,68,no specific genre,2495731,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
196,Bruno mars,Leave the door open,2uBYxTaJan4vR9z0ckwBc5,0,0du5cEVh5yTK9QJze8zA0C,79,no specific genre,1176728,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,4.03
197,Crush,Rush hour (feat. j-hope of bts),5aucVLKiumD89mxVCB4zvS,79,6aLdhHUqgdKE86xbtNmY8g,33,no specific genre,2844,0.738,0.714,0,-5.235,1,0.249,0.157,0.0,0.31,0.74,95.035,2.96
198,J balvin,Ay vamos,1mqondFAiCUQ7i5iS8CAej,6,1vyhD5VmyZ7KMfW5gqLgo5,71,no specific genre,485167,0.718,0.711,8,-5.746,0,0.11,0.157,5.52e-05,0.1,0.92,173.916,3.77
199,J balvin,Ahora,7EHmIBSyFLRm9Ocm3QAJZu,5,1vyhD5VmyZ7KMfW5gqLgo5,72,no specific genre,4889429,0.81,0.784,3,-3.223,0,0.0622,0.0874,0.000166,0.083,0.817,88.001,4.25
